order_id,order_date,category,channel,region,amount,user_id,status,refund_status
ORD-2026-0701-001,2026-07-01,电子产品,官网,华东,1299.00,U10001,paid,none
ORD-2026-0701-002,2026-07-01,服饰,小程序,华南,399.00,U10002,paid,none
ORD-2026-0701-003,2026-07-01,家居,第三方平台,华北,89.00,U10003,paid,partial
ORD-2026-0701-004,2026-07-01,美妆,官网,华东,599.00,U10004,paid,none
ORD-2026-0701-005,2026-07-01,食品,小程序,西南,29.90,U10005,paid,none
ORD-2026-0702-001,2026-07-02,电子产品,第三方平台,华南,2599.00,U10006,paid,none
ORD-2026-0702-002,2026-07-02,服饰,官网,华东,899.00,U10007,paid,none
ORD-2026-0702-003,2026-07-02,家居,小程序,华北,159.00,U10008,paid,none
ORD-2026-0702-004,2026-07-02,美妆,官网,华东,799.00,U10009,paid,none
ORD-2026-0702-005,2026-07-02,食品,第三方平台,西南,49.90,U10010,paid,none
ORD-2026-0703-001,2026-07-03,电子产品,官网,华东,1599.00,U10011,paid,none
ORD-2026-0703-002,2026-07-03,服饰,小程序,华南,499.00,U10012,paid,none
ORD-2026-0703-003,2026-07-03,家居,官网,华北,229.00,U10013,paid,none
ORD-2026-0703-004,2026-07-03,美妆,小程序,华东,599.00,U10014,paid,none
ORD-2026-0703-005,2026-07-03,食品,第三方平台,西南,39.90,U10015,paid,none
ORD-2026-0704-001,2026-07-04,电子产品,小程序,华南,1899.00,U10016,paid,none
ORD-2026-0704-002,2026-07-04,服饰,官网,华东,699.00,U10017,paid,none
ORD-2026-0704-003,2026-07-04,家居,第三方平台,华北,99.00,U10018,paid,none
ORD-2026-0704-004,2026-07-04,美妆,官网,华东,899.00,U10019,paid,none
ORD-2026-0704-005,2026-07-04,食品,小程序,西南,59.90,U10020,paid,none
ORD-2026-0705-001,2026-07-05,电子产品,第三方平台,华南,3299.00,U10021,paid,none
ORD-2026-0705-002,2026-07-05,服饰,小程序,华东,399.00,U10022,paid,none
ORD-2026-0705-003,2026-07-05,家居,官网,华北,189.00,U10023,paid,none
ORD-2026-0705-004,2026-07-05,美妆,小程序,华东,1099.00,U10024,paid,none
ORD-2026-0705-005,2026-07-05,食品,第三方平台,西南,89.90,U10025,paid,none
ORD-2026-0706-001,2026-07-06,电子产品,官网,华东,2199.00,U10026,paid,none
ORD-2026-0706-002,2026-07-06,服饰,小程序,华南,599.00,U10027,paid,none
ORD-2026-0706-003,2026-07-06,家居,第三方平台,华北,159.00,U10028,paid,none
ORD-2026-0706-004,2026-07-06,美妆,官网,华东,699.00,U10029,paid,none
ORD-2026-0706-005,2026-07-06,食品,小程序,西南,29.90,U10030,paid,none
ORD-2026-0707-001,2026-07-07,电子产品,小程序,华南,1499.00,U10031,paid,none
ORD-2026-0707-002,2026-07-07,服饰,官网,华东,799.00,U10032,paid,none
ORD-2026-0707-003,2026-07-07,家居,小程序,华北,89.00,U10033,paid,none
ORD-2026-0707-004,2026-07-07,美妆,第三方平台,华东,499.00,U10034,paid,none
ORD-2026-0707-005,2026-07-07,食品,官网,西南,69.90,U10035,paid,none
